1147,Street Lighting,Non Burning of Street Lights,1,2,false
1147,Water Supply,Repair Bore wells,2,9,false
1147,Water Supply,Issues Related to Drinking Water Supply,2,43,false
1147,Water Supply,Issues Related to Drinking Water Supply,2,0,true
1147,Engineering,Obstruction of water flow,1,1,true
1147,Engineering,Obstruction of water flow,1,4,false
1147,Street Lighting,Non Burning of Street Lights,1,1,true
1147,Water Supply,Issues Related to Drinking Water Supply,2,1,true
1147,Street Lighting,Non Burning of Street Lights,1,1,true
1147,Engineering,Pot hole fill up/Repairs to the damage surface,7,1,true
1147,Street Lighting,Non Burning of Street Lights,1,2,false
1147,Street Lighting,Non Burning of Street Lights,1,2,false
1147,Street Lighting,Non Burning of Street Lights,1,2,false
1147,Water Supply,Issues Related to Drinking Water Supply,2,2,true
1147,Engineering,Obstruction of water flow,1,1,true
1147,Street Lighting,Non Burning of Street Lights,1,1,true
1147,Street Lighting,Non Burning of Street Lights,1,1,true
1147,Engineering,UGD Over Flow,1,1,true
1147,Engineering,Stoppage of Civil Works,2,2,true
1147,Water Supply,Issues Related to Drinking Water Supply,2,1,true
1147,Street Lighting,Non Burning of Street Lights,1,2,false
1147,Street Lighting,Non Burning of Street Lights,1,3,false
1147,Street Lighting,Non Burning of Street Lights,1,13,false
1147,Engineering,Obstruction of water flow,1,16,false
1147,Street Lighting,Non Burning of Street Lights,1,0,true
1147,Engineering,Repairs to Flyovers/ bridges/ Culverts,7,1,true
1160,Water Supply,Repair Bore wells,2,2,true
1147,Street Lighting,Non Burning of Street Lights,1,0,true
1147,Engineering,Pot hole fill up/Repairs to the damage surface,7,1,true
1147,Street Lighting,Non Burning of Street Lights,1,1,true
1147,Engineering,Pot hole fill up/Repairs to the damage surface,7,2,true
1147,Street Lighting,Non Burning of Street Lights,1,2,false
1147,Street Lighting,Non Burning of Street Lights,1,4,false
1147,Street Lighting,Non Burning of Street Lights,1,1,true
1147,Street Lighting,Non Burning of Street Lights,1,5,false
1147,Street Lighting,Non Burning of Street Lights,1,8,false
1147,Water Supply,Issues Related to Drinking Water Supply,2,4,false
1147,Water Supply,Issues Related to Drinking Water Supply,2,92,false
1147,Water Supply,Issues Related to Drinking Water Supply,2,1,true
1147,Water Supply,Issues Related to Drinking Water Supply,2,15,false
1147,Engineering,Obstruction of water flow,1,0,true
1147,Water Supply,Issues Related to Drinking Water Supply,2,72,false
1147,Water Supply,Issues Related to Drinking Water Supply,2,1,true
1147,Water Supply,Issues Related to Drinking Water Supply,2,3,false
1147,Street Lighting,Non Burning of Street Lights,1,0,true
1147,Water Supply,Water pipe leakage,2,0,true
1147,Water Supply,Issues Related to Drinking Water Supply,2,0,true
1147,Water Supply,Issues Related to Drinking Water Supply,2,0,true
1147,Street Lighting,Non Burning of Street Lights,1,3,false
1147,Water Supply,Issues Related to Drinking Water Supply,2,4,false
1147,Street Lighting,Hanging of Streetlight Wires,1,5,false
1147,Engineering,Obstruction of water flow,1,6,false
1147,Water Supply,Issues Related to Drinking Water Supply,2,8,false
1147,Street Lighting,Non Burning of Street Lights,1,2,false
1147,Engineering,Obstruction of water flow,1,3,false
1147,Engineering,Replacement of Cover for Manholes,7,3,true
1074,Street Lighting,Non Burning of Street Lights,1,1,true
1147,Engineering,Obstruction of water flow,1,5,false
1147,Engineering,Obstruction of water flow,1,5,false
1147,Street Lighting,Non Burning of Street Lights,1,1,true
1147,Street Lighting,Non Burning of Street Lights,1,11,false
1147,Street Lighting,Non Burning of Street Lights,1,2,false
1147,Water Supply,Issues Related to Drinking Water Supply,2,3,false
1147,Engineering,Unauthorised Road cutting,1,0,true
1147,Engineering,Obstruction of water flow,1,2,false
1147,Water Supply,Issues Related to Drinking Water Supply,2,11,false
1147,Water Supply,Issues Related to Drinking Water Supply,2,11,false
1147,Water Supply,Issues Related to Drinking Water Supply,2,0,true
1147,Street Lighting,Non Burning of Street Lights,1,0,true
1147,Water Supply,Issues Related to Drinking Water Supply,2,1,true
1147,Engineering,Obstruction of water flow,1,1,true
1147,Water Supply,Issues Related to Drinking Water Supply,2,2,true
1147,Water Supply,Issues Related to Drinking Water Supply,2,1,true
1147,Water Supply,Repair Bore wells,2,1,true
1147,Street Lighting,Non Burning of Street Lights,1,2,false
1147,Street Lighting,Non Burning of Street Lights,1,6,false
1147,Engineering,Unauthorised Road cutting,1,0,true
1147,Engineering,Replacement of Cover for Manholes,7,2,true
1147,Water Supply,Contamination of Water,1,3,false
1147,Water Supply,Issues Related to Drinking Water Supply,2,1,true
1147,Water Supply,Issues Related to Drinking Water Supply,2,1,true
1147,Water Supply,Repair Bore wells,2,2,true
1147,Water Supply,Repair Bore wells,2,1,true
1147,Street Lighting,Non Burning of Street Lights,1,1,true
1147,Street Lighting,Non Burning of Street Lights,1,0,true
1147,Street Lighting,Non Burning of Street Lights,1,8,false
1147,Engineering,Obstruction of water flow,1,0,true
1147,Water Supply,Issues Related to Drinking Water Supply,2,3,false
1147,Engineering,Unauthorised Road cutting,1,0,true
